ParticipantID,Group,Selection Time (s),Selection No. of Clicks,Selected Layout,Shown Layout,CQ-H Score,CQ-M Score,CQ-L Score,QD-M Score,QD-L Score,R-0.2s Score,R-0.5s Score,R-1.0s Score
91,C,22.069,9,Top Right,Top Left,4,4,1,4,2,4,3,3
92,C,53.668,25,Top Left,Bottom Right,3,2,1,3,2,3,2,2
93,C,20.799,1,Top Right,Top Left,4,2,1,2,1,3,3,2
94,C,8.333,1,Bottom Right,Top Left,4,3,1,3,2,4,4,4
95,C,9.594,2,Bottom Left,Top Right,4,3,1,3,2,4,3,3
96,C,47.226,11,Player Off,Top Right,5,4,1,4,2,5,4,3
97,C,38.643,4,Bottom Right,Top Left,4,3,2,3,3,4,4,4
98,C,15.578,6,Top Right,Top Left,4,2,1,3,1,2,1,1
99,C,29.385,10,Top Right,Top Left,4,2,1,4,2,4,3,4
100,C,19.614,8,Top Right,Top Left,4,4,1,3,2,2,3,1
101,C,14.682,3,Top Right,Top Left,4,3,2,4,2,4,3,3
102,C,30.572,2,Player Off,Top Right,4,4,3,4,2,4,4,4
103,C,46.138,10,Top Mid,Top Right,4,3,2,4,2,5,3,4
104,C,13.137,2,Player Off,Top Left,4,4,2,4,2,4,3,2
105,C,36.182,22,Top Right,Top Left,4,4,1,3,2,3,2,2
106,C,144.615,4,Top Mid,Top Right,3,4,3,1,4,2,4,3
107,C,22.538,11,Top Right,Top Left,4,3,1,4,3,3,4,3
108,C,26.645,9,Bottom Right,Top Left,4,3,1,3,2,3,2,2
109,C,34.5,14,Player Off,Top Right,5,3,1,3,2,3,4,3
110,C,93.77,1,Bottom Left,Top Right,4,4,1,4,2,3,3,3
111,C,12.963,1,Top Right,Top Left,3,4,1,4,1,2,2,3
112,C,12.095,1,Top Right,Top Left,4,4,2,3,1,4,3,2
113,C,17.554,3,Bottom Left,Top Right,3,2,1,2,1,2,3,3
114,C,25.326,5,Top Right,Top Left,4,4,2,4,3,4,4,3
115,C,31.023,21,Top Left,Bottom Right,5,3,1,3,3,4,4,3
116,C,40.411,6,Top Right,Top Left,4,2,1,3,1,4,4,3
117,C,11.472,7,Player Off,Top Right,5,4,1,3,2,2,3,3
118,C,30.132,11,Top Right,Top Left,3,4,2,4,2,3,4,3
119,C,20.299,11,Mid Right,Top Right,2,1,1,3,1,2,2,2
120,C,23.374,12,Top Right,Top Left,4,3,1,4,2,3,3,2
121,C,31.982,7,Top Left,Bottom Right,4,3,2,4,2,3,2,1
122,C,18.277,9,Bottom Left,Top Right,5,3,2,3,2,4,4,3
123,C,21.601,13,Bottom Right,Top Left,4,3,1,3,2,4,4,4
124,C,20.968,14,Mid Right,Top Right,5,3,1,4,2,3,2,3
125,C,16.868,9,Mid Right,Top Right,5,3,2,3,3,4,4,4
126,C,81.753,8,Top Right,Top Right,4,4,2,4,2,4,5,3
127,C,56.769,28,Top Left,Bottom Right,5,3,1,4,2,3,3,2
128,C,35.281,14,Top Left,Bottom Right,4,4,1,4,2,4,4,4
129,C,17.44,3,Top Right,Top Left,4,2,1,3,2,4,3,2
130,C,59.529,8,Mid Right,Top Right,4,4,1,3,2,4,2,3
131,C,41.485,17,Top Right,Top Left,4,3,1,3,1,4,4,2
132,C,20.26,3,Player Off,Top Right,4,4,2,4,3,3,3,3
133,C,21.069,7,Player Off,Bottom Right,5,3,1,2,2,3,2,2
134,C,27.673,7,Player Off,Bottom Right,4,2,1,3,1,4,3,2
135,C,17.53,6,Player Off,Top Right,5,4,3,5,2,4,2,2
136,C,16.666,11,Bottom Left,Top Right,5,3,2,4,2,4,3,4
