"","Game","Game.Quality","Player.Quality","SI","TI","Fair_Better","MOS"
"1",2,2,2,NA,NA,1,4.16666666666667
"2",2,2,2,NA,NA,1,4.16666666666667
"3",2,2,2,NA,NA,1,4.16666666666667
"4",2,2,2,NA,NA,1,4.16666666666667
"5",2,2,2,NA,NA,1,4.16666666666667
"6",2,2,2,NA,NA,1,4.16666666666667
"7",2,2,2,NA,NA,1,4.16666666666667
"8",2,2,2,NA,NA,1,4.16666666666667
"9",2,2,2,NA,NA,1,4.16666666666667
"10",2,2,2,NA,NA,1,4.16666666666667
"11",2,2,2,NA,NA,1,4.16666666666667
"12",2,2,2,NA,NA,1,4.16666666666667
"13",2,2,2,NA,NA,1,4.16666666666667
"14",2,2,2,NA,NA,1,4.16666666666667
"15",2,2,2,NA,NA,1,4.16666666666667
"16",2,2,2,NA,NA,1,4.16666666666667
"17",2,2,2,NA,NA,1,4.16666666666667
"18",2,2,2,NA,NA,1,4.16666666666667
"19",2,2,2,NA,NA,1,4.16666666666667
"20",2,2,2,NA,NA,1,4.16666666666667
"21",2,2,2,NA,NA,1,4.16666666666667
"22",2,2,2,NA,NA,1,4.16666666666667
"23",2,2,2,NA,NA,1,4.16666666666667
"24",2,2,2,NA,NA,1,4.16666666666667
"25",2,2,2,NA,NA,1,4.16666666666667
"26",2,2,2,NA,NA,1,4.16666666666667
"27",2,2,2,NA,NA,1,4.16666666666667
