"","Unique_ID","Codec","Bitrate","Resolution","Packet_Loss","SSIM","VMAF","MOS","sd_OS","fair_better"
"249",249,0,0,0,4,0.87281,64.61,1.766666667,0.464563461,0.016666667
"250",250,0,0,0,5,0.74698,38.83,1.266666667,0.445948491,0
"251",251,0,1,2,0,0.9736,94.05,2.983333333,0.503939284,0.866666667
"252",252,0,1,2,1,0.9686,93.57,2.733333333,0.482460736,0.716666667
"253",253,0,1,2,2,0.94788,89.69,2.583333333,0.497167116,0.583333333
"254",254,0,1,2,3,0.85574,70.13,1.533333333,0.566483852,0.033333333
"255",255,0,1,2,4,0.81989,64.87,1.3,0.462124791,0
"256",256,0,1,2,0,0.79515,61.63,1,0,0
"257",257,0,2,2,0,0.93144,87.1,2.25,0.571201529,0.316666667
"258",258,0,2,2,1,0.89557,78.78,1.95,0.428833657,0.066666667
"259",259,0,2,2,2,0.85137,71.76,1.566666667,0.499717434,0
"260",260,0,2,2,3,0.7918,63.47,1.133333333,0.342803332,0
"261",261,0,2,2,4,0.72856,55.68,1.033333333,0.181020335,0
"262",262,0,2,2,5,0.67486,50.27,1,0,0
"263",263,0,0,2,0,0.98737,96.81,3.233333333,0.532555931,1
"264",264,0,0,2,1,0.98175,95.23,3.05,0.340736988,0.966666667
"265",265,0,0,2,2,0.95773,90.31,2.533333333,0.535729082,0.516666667
"266",266,0,0,2,3,0.93774,85.59,2.066666667,0.578328001,0.2
"267",267,0,0,2,4,0.91764,81.73,1.6,0.494032182,0
"268",268,0,0,2,5,0.86424,75.95,1,0,0
"269",269,1,1,1,0,0.90205,82.75,1.4,0.494032182,0
"270",270,1,1,1,1,0.87536,81.68,1.166666667,0.375823014,0
"271",271,1,1,1,2,0.83367,65.53,1.166666667,0.375823014,0
"272",272,1,1,1,3,0.7678,35.97,1.133333333,0.342803332,0
"273",273,1,1,1,4,0.66766,40.64,1.1,0.30253169,0
"274",274,1,1,1,0,0.61861,33.2,1.05,0.219784178,0
"275",275,1,2,1,0,0.89552,79.46,1.633333333,0.485961101,0
"276",276,1,2,1,1,0.8398,70.2,1.5,0.504219484,0
"277",277,1,2,1,2,0.77202,64.58,1.333333333,0.475382689,0
"278",278,1,2,1,3,0.66274,45.58,1.4,0.494032182,0
"279",279,1,2,1,4,0.62791,39.47,1.016666667,0.129099445,0
"280",280,1,2,1,5,0.56032,28.6,1.016666667,0.129099445,0
"281",281,1,0,1,0,0.97891,79.25,2.35,0.480994732,0.35
"282",282,1,0,1,1,0.95646,78.74,2.15,0.360084736,0.15
"283",283,1,0,1,2,0.89561,30.97,1.783333333,0.415450202,0
"284",284,1,0,1,3,0.80395,19.31,1.566666667,0.499717434,0
"285",285,1,1,0,0,0.91164,81.33,2.033333333,0.485961101,0
"286",286,1,1,0,1,0.86772,71.3,1.766666667,0.563483917,0
"287",287,1,1,0,2,0.80478,54.12,1.4,0.527224906,0.133333333
"288",288,1,1,0,3,0.68842,42.32,1.1,0.30253169,0.066666667
"289",289,1,1,0,4,0.64554,29.78,1.15,0.360084736,0.016666667
"290",290,1,1,0,0,0.57718,25.25,1.016666667,0.129099445,0
"291",291,1,2,0,0,0.86652,56.69,1.816666667,0.567231357,0
"292",292,1,2,0,2,0.74373,53.06,1.316666667,0.503939284,0
"293",293,1,2,0,3,0.68376,44.18,1.183333333,0.390204929,0.083333333
