,Unique_ID,Codec,Bitrate,Resolution,Packet_Loss,SSIM,VMAF,fair_better,Opinion_Score
99,2,0,1,1,1,0.975,92.67,0.416666667,3
100,2,0,1,1,1,0.975,92.67,0.416666667,2
101,2,0,1,1,1,0.975,92.67,0.416666667,3
102,2,0,1,1,1,0.975,92.67,0.416666667,2
103,2,0,1,1,1,0.975,92.67,0.416666667,3
104,2,0,1,1,1,0.975,92.67,0.416666667,3
105,2,0,1,1,1,0.975,92.67,0.416666667,2
106,2,0,1,1,1,0.975,92.67,0.416666667,2
107,2,0,1,1,1,0.975,92.67,0.416666667,3
108,2,0,1,1,1,0.975,92.67,0.416666667,2
109,2,0,1,1,1,0.975,92.67,0.416666667,2
110,2,0,1,1,1,0.975,92.67,0.416666667,3
111,2,0,1,1,1,0.975,92.67,0.416666667,3
112,2,0,1,1,1,0.975,92.67,0.416666667,2
113,2,0,1,1,1,0.975,92.67,0.416666667,2
114,2,0,1,1,1,0.975,92.67,0.416666667,3
115,2,0,1,1,1,0.975,92.67,0.416666667,3
116,2,0,1,1,1,0.975,92.67,0.416666667,2
117,2,0,1,1,1,0.975,92.67,0.416666667,2
118,2,0,1,1,1,0.975,92.67,0.416666667,3
119,2,0,1,1,1,0.975,92.67,0.416666667,3
120,2,0,1,1,1,0.975,92.67,0.416666667,2
121,3,0,1,1,2,0.961,65.19,0.2,3
122,3,0,1,1,2,0.961,65.19,0.2,2
123,3,0,1,1,2,0.961,65.19,0.2,2
124,3,0,1,1,2,0.961,65.19,0.2,2
125,3,0,1,1,2,0.961,65.19,0.2,3
126,3,0,1,1,2,0.961,65.19,0.2,3
127,3,0,1,1,2,0.961,65.19,0.2,2
128,3,0,1,1,2,0.961,65.19,0.2,2
129,3,0,1,1,2,0.961,65.19,0.2,2
130,3,0,1,1,2,0.961,65.19,0.2,3
131,3,0,1,1,2,0.961,65.19,0.2,3
132,3,0,1,1,2,0.961,65.19,0.2,2
133,3,0,1,1,2,0.961,65.19,0.2,2
134,3,0,1,1,2,0.961,65.19,0.2,2
135,3,0,1,1,2,0.961,65.19,0.2,2
136,3,0,1,1,2,0.961,65.19,0.2,2
137,3,0,1,1,2,0.961,65.19,0.2,2
138,3,0,1,1,2,0.961,65.19,0.2,2
139,3,0,1,1,2,0.961,65.19,0.2,2
140,3,0,1,1,2,0.961,65.19,0.2,2
